coin,prices,qty,prev_price,value,3x,5x,10x,20x,percent_gain
ETH,3291.880231029757,1.58,3167.04,468105.3688524315,0,0,0,0,3.9418583607961053
YFI,6297.605846697897,0.0,6741.69,0.0,0,0,0,0,-6.587133987206517
ROUTE,0.04816778291613017,4737.0,0.05,20535.370890633774,0,0,0,0,-3.6644341677396635
SOL,254.14512918734795,7.77,210.83,177723.68884071242,0,0,0,0,20.54505012917893
ETC,28.06683301989035,24.0,22.7,60624.35932296315,0,0,0,0,23.642436210970708
AKT,3.707963423640516,203.0,2.64,67744.49174991222,0,0,0,0,40.45315998638317
MLT,0.02445907350338057,2194.0,0.02195,4829.688653977528,0,0,0,0,11.430858785332894
RENDER,7.224157781982753,126.2,6.07,82051.98408776012,0,0,0,0,19.01413149889214
PYR,2.782768136733734,74.0,2.94,18533.235790646668,0,0,0,0,-5.348022560077072
BCH,487.7772870809902,1.24,432.02,54435.94523823851,0,0,0,0,12.906181908474199
XRP,1.4434376903870796,502.0,0.5819,65214.514851688255,0,0,0,0,148.05597016447493
LTC,90.70790587139504,4.05,76.42,33063.03169012349,0,0,0,0,18.696553090022295
ROSE,0.08532378001395602,1512.0,0.0819,11610.859984299135,0,0,0,0,4.180439577479875
SNT,0.039193034748222215,6287.0,0.04232,22176.59485158658,0,0,0,0,-7.388859290590237
FET,1.2296611643736108,117.0,1.5,12948.332060854122,0,0,0,0,-18.02258904175928
NAKA,0.9303357250097969,176.0,1.17,14736.517884155184,0,0,0,0,-20.484126067538725
ZRX,0.43318663777667793,592.0,0.3648,23080.184060741398,0,0,0,0,18.746337109834954
GNO,260.8401848324032,0.96,262.63,22536.59196951964,0,0,0,0,-0.6814968463605723
BTC,99218.3240306485,0.0032,81641.0,28574.877320826767,0,0,0,0,21.530020492949003
AR,17.853330644753758,0.0,19.36,0.0,0,0,0,0,-7.782383033296704
DOT,6.335888025063264,25.0,5.06,14255.748056392344,0,0,0,0,25.215178360934082
ENJ,0.19778500875496094,597.42,0.1654,10634.464793734987,0,0,0,0,19.579811822830077
LINK,15.26723461481238,6.1,13.92,8381.711803531996,0,0,0,0,9.678409589169402
OCEAN,0.5252439123932074,279.66,0.6402,13220.074128589597,0,0,0,0,-17.95627735188887
SC,0.006005925876786774,10510.0,0.00499,5681.005286852609,0,0,0,0,20.35923600775099
EQUAD,0.00688567785667297,13176.0,0.01,8165.312229557076,0,0,0,0,-31.143221433270302
POWR,0.25941439711713193,251.23,0.2335,5865.541108896336,0,0,0,0,11.098242876716027
CRO,0.18978144820901757,1030.0,0.1378,17592.74024897593,0,0,0,0,37.72238621844526
XTZ,1.1044820913322206,73.5,0.7154,7306.149034162639,0,0,0,0,54.38664961311442
DOGE,0.34,3425.0,0.2799,104805.0,0,0,0,0,21.47195426938194
HBAR,0.1386979108994112,938.0,0.05529,11708.877638128293,0,0,0,0,150.85532808719694
OM,3.714463091960981,814.0,0.96,272121.5661170614,1,0,0,0,286.9232387459355
INJ,24.399308970311207,56.0,26.05714,122972.51721036847,0,0,0,0,-6.362290833486689
NEXO,1.3173802946109892,620.0,1.20968,73509.8204392932,0,0,0,0,8.903205361003659
RIO,0.7013430461336184,377.0,0.94164,23796.569555313672,0,0,0,0,-25.518983249052887
TAO,487.2763940081506,0.6,555.0,26312.925276440128,0,0,0,0,-12.202451530062957
BNB,622.6826255569655,0.3,606.66667,16812.430890038067,0,0,0,0,2.6399926597196344
FTM,0.7014672888377216,234.0,0.77778,14772.901102922417,0,0,0,0,-9.811606259132203
CPOOL,0.24504123395293545,726.0,0.2259,16010.994226484803,0,0,0,0,8.473321802981612
FIL,4.727606953785457,38.0,4.15789,16168.415781946263,0,0,0,0,13.70206892884267
IXS,0.41240647356094495,246.0,0.60976,9130.67932463932,0,0,0,0,-32.36577119506937
ORAI,8.58339696711783,22.4,6.5625,17304.128285709543,0,0,0,0,30.79462045131931
ZEC,43.83577453602577,3.0,44.0,11835.659124726955,0,0,0,0,-0.37323969085053027
PROPC,1.7226979817380736,77.6,1.62371,12031.322704458706,0,0,0,0,6.09640771677662
NPC,0.038418298845163804,3625.0,0.02897,12533.96999823469,0,0,0,0,32.6140795483735
AZERO,0.32447668440456834,215.0,0.32093,6278.623843228397,0,0,0,0,1.1051271007909342
KEY,0.0032610987574965278,18000.0,0.00372,5282.979987144375,0,0,0,0,-12.336054906007323
TEL,0.0034033147427001043,29797.0,0.00218,9126.77124494115,0,0,0,0,56.115355169729554
TRADE,0.4187547330421874,112.0,0.55357,4221.047709065249,0,0,0,0,-24.353788492478383
NAVI,0.16773157483704698,296.0,0.2027,4468.369153658931,0,0,0,0,-17.25131976465368
DIONE,0.005338862203377104,8400.0,0.00643,4036.1798257530904,0,0,0,0,-16.969483617774433
ALGO,0.2494214325702484,326.0,0.14417,7318.024831611088,0,0,0,0,73.00508605829813
LSK,1.0191652310232773,50.0,0.9,4586.243539604748,0,0,0,0,13.240581224808583
ONT,0.23350442311783534,208.0,0.20192,4371.202800765877,0,0,0,0,15.642047899086448
FI,0.004381567821596697,5814.0,0.00654,2292.699178328688,0,0,0,0,-33.003550128490865
QUBIC,1.5021462749582657e-06,25365833.0,9.56e-06,3429.2872396947105,0,0,0,0,-84.28717285608509
DCR,13.586365426518872,2.0,14.0,2445.545776773397,0,0,0,0,-2.9545326677223396
SOLVE,0.0060144581741552626,2306.0,0.02,1248.2406494641832,0,0,0,0,-69.92770912922369
NMR,15.868153187150808,1.4,17.74,1999.3873015810016,0,0,0,0,-10.551560388101413
STEEM,0.21076582336474536,0.0,0.24,0.0,0,0,0,0,-12.180906931356095
IONX,0.005070235001597723,1054.0,0.02,480.96249225156004,0,0,0,0,-74.64882499201138
HTR,0.06063706703123565,274.0,0.07,1495.310072990271,0,0,0,0,-13.375618526806225
UNO,0.010266385089399121,574.0,0.03,530.3614537183586,0,0,0,0,-65.77871636866959
USDT,1.0,0.0,1.0,0.0,0,0,0,0,0.0
