coin,prices,qty,prev_price,value,3x,5x,10x,20x,percent_gain
ETH,3101.071905933155,1.58,3167.04,440972.4250236946,0,0,0,0,-2.082957400817324
YFI,6200.16757975156,0.0,6741.69,0.0,0,0,0,0,-8.03244320412893
ROUTE,0.0521891007577489,4737.0,0.05,22249.77932605112,0,0,0,0,4.37820151549792
SOL,236.15481181454948,7.77,210.83,165143.05990191444,0,0,0,0,12.011958361973846
ETC,25.794414118570888,24.0,22.7,55715.93449611312,0,0,0,0,13.631780258021536
AKT,3.8763697594910274,203.0,2.64,70821.27550590107,0,0,0,0,46.8321878595086
MLT,0.0231161639951455,2194.0,0.02195,4564.517742481432,0,0,0,0,5.3128200234419545
RENDER,7.924693931493918,126.2,6.07,90008.67367390792,0,0,0,0,30.55508948095416
PYR,2.6869172435725663,74.0,2.94,17894.868842193293,0,0,0,0,-8.608257021341279
BCH,440.44666394381466,1.24,432.02,49153.84769612971,0,0,0,0,1.9505263515149007
XRP,1.1199095173527025,502.0,0.5819,50597.51199399509,0,0,0,0,92.4573839753742
LTC,85.40344278632404,4.05,76.42,31129.554895615107,0,0,0,0,11.75535564816021
ROSE,0.0779106145052119,1512.0,0.0819,10602.076421869247,0,0,0,0,-4.871044560180725
SNT,0.0339895320481061,6287.0,0.04232,19232.296918779903,0,0,0,0,-19.68447058576053
FET,1.2860403764532524,117.0,1.5,13542.005164052747,0,0,0,0,-14.263974903116504
NAKA,0.9685568970707472,176.0,1.17,15341.94124960064,0,0,0,0,-17.217359224722447
ZRX,0.4233197282916469,592.0,0.3648,22554.475123378947,0,0,0,0,16.04159218521023
GNO,256.44468640786965,0.96,262.63,22156.82090563994,0,0,0,0,-2.3551435830371026
BTC,93211.93306638845,0.0032,81641.0,26845.03672311987,0,0,0,0,14.172943822819946
AR,17.876790171130146,0.0,19.36,0.0,0,0,0,0,-7.6612077937492415
DOT,5.973837807196863,25.0,5.06,13441.13506619294,0,0,0,0,18.060035715353028
ENJ,0.1947785409833811,597.42,0.1654,10472.81363588624,0,0,0,0,17.76211667677215
